aircraft_id,ref_month,y,year_month,env_available,flag_prior_corrosion
002eab,2023-04,0,2023-04,True,False
002eab,2025-04,1,2025-04,True,False
009e95,2020-04,0,2020-04,True,False
009e95,2022-04,1,2022-04,True,False
01c05c,2023-01,0,2023-01,True,False
01c05c,2025-01,1,2025-01,True,False
02884d,2019-03,0,2019-03,True,False
02884d,2021-03,1,2021-03,True,False
02d1d2,2022-04,0,2022-04,True,False
02d1d2,2024-04,1,2024-04,True,False
02dba8,2022-06,0,2022-06,True,False
02dba8,2024-06,1,2024-06,True,False
02f174,2019-12,0,2019-12,True,False
02f174,2021-12,1,2021-12,True,False
03892b,2019-02,0,2019-02,True,False
03892b,2021-02,1,2021-02,True,False
043537,2019-08,0,2019-08,True,False
043537,2021-08,1,2021-08,True,False
0439c1,2022-04,0,2022-04,True,False
0439c1,2024-04,1,2024-04,True,False
047c3b,2021-08,0,2021-08,True,False
047c3b,2023-08,1,2023-08,True,False
04ff3d,2019-11,0,2019-11,True,False
04ff3d,2021-11,1,2021-11,True,False
050400,2016-10,0,2016-10,True,False
050400,2018-10,1,2018-10,True,False
0526ac,2021-10,0,2021-10,True,False
0526ac,2023-10,1,2023-10,True,False
06f4d3,2020-12,0,2020-12,False,False
06f4d3,2022-12,1,2022-12,True,False
072ce8,2022-02,0,2022-02,True,False
072ce8,2024-02,1,2024-02,True,False
075c19,2021-05,0,2021-05,True,False
075c19,2023-05,1,2023-05,True,False
0769f1,2022-01,0,2022-01,True,False
0769f1,2024-01,1,2024-01,True,False
077ee1,2016-10,0,2016-10,False,False
077ee1,2018-10,1,2018-10,True,False
08647c,2019-11,0,2019-11,True,False
08647c,2021-11,1,2021-11,True,False
0898e2,2023-04,0,2023-04,True,False
0898e2,2025-04,1,2025-04,True,False
08ce08,2018-01,0,2018-01,False,False
08ce08,2020-01,1,2020-01,True,False
0932c4,2023-10,0,2023-10,True,False
0932c4,2025-10,1,2025-10,False,False
09958c,2022-03,0,2022-03,True,False
09958c,2024-03,1,2024-03,True,False
09b5d6,2022-05,0,2022-05,False,False
09b5d6,2024-05,1,2024-05,False,False
09fe89,2017-06,0,2017-06,True,False
09fe89,2019-06,1,2019-06,True,False
0ab5cf,2022-05,0,2022-05,True,False
0ab5cf,2024-05,1,2024-05,True,False
0bdf39,2023-11,0,2023-11,True,False
0bdf39,2025-11,1,2025-11,False,False
0c708c,2024-01,0,2024-01,False,False
0c708c,2026-01,1,2026-01,False,False
0c7134,2023-08,0,2023-08,True,False
0c7134,2025-08,1,2025-08,True,False
0c8a7b,2015-03,0,2015-03,False,False
0c8a7b,2017-03,1,2017-03,True,False
0e0f44,2019-01,0,2019-01,True,False
0e0f44,2021-01,1,2021-01,True,False
0e2ce0,2023-08,0,2023-08,True,False
0e2ce0,2025-08,1,2025-08,True,False
0e6737,2021-05,0,2021-05,True,False
0e6737,2023-05,1,2023-05,True,False
0e69c3,2022-07,0,2022-07,False,False
0e69c3,2024-07,1,2024-07,False,False
0f3d54,2021-10,0,2021-10,True,False
0f3d54,2023-10,1,2023-10,True,False
0f51e9,2023-12,0,2023-12,False,False
0f51e9,2025-12,1,2025-12,False,False
0f870a,2024-03,0,2024-03,True,False
0f870a,2026-03,1,2026-03,False,False
0fcc11,2022-08,0,2022-08,True,False
0fcc11,2024-08,1,2024-08,True,False
10ab51,2023-12,0,2023-12,True,False
10ab51,2025-12,1,2025-12,False,False
11725a,2020-06,0,2020-06,True,False
11725a,2022-06,1,2022-06,True,False
117e01,2017-01,0,2017-01,True,False
117e01,2019-01,1,2019-01,True,False
119f57,2023-02,0,2023-02,True,False
119f57,2025-02,1,2025-02,True,False
12638e,2021-11,0,2021-11,True,False
12638e,2023-11,1,2023-11,True,False
127b58,2022-05,0,2022-05,True,False
127b58,2024-05,1,2024-05,True,False
12877b,2022-10,0,2022-10,True,False
12877b,2024-10,1,2024-10,True,False
12c687,2021-12,0,2021-12,True,False
12c687,2023-12,1,2023-12,True,False
131125,2021-12,0,2021-12,True,False
131125,2023-12,1,2023-12,True,False
131280,2023-12,0,2023-12,True,False
131280,2025-12,1,2025-12,False,False
1341e7,2024-04,0,2024-04,True,False
1341e7,2026-04,1,2026-04,False,False
144bf1,2021-03,0,2021-03,True,False
144bf1,2023-03,1,2023-03,True,False
15ffd5,2020-10,0,2020-10,True,False
15ffd5,2022-10,1,2022-10,True,False
166e88,2019-01,0,2019-01,True,False
166e88,2021-01,1,2021-01,True,False
169f0d,2021-11,0,2021-11,True,False
169f0d,2023-11,1,2023-11,True,False
16b2a4,2022-02,0,2022-02,True,False
16b2a4,2024-02,1,2024-02,True,False
16fa1f,2023-05,0,2023-05,True,False
16fa1f,2025-05,1,2025-05,True,False
171b7a,2023-09,0,2023-09,True,False
171b7a,2025-09,1,2025-09,True,False
17cc99,2023-01,0,2023-01,False,False
17cc99,2025-01,1,2025-01,True,False
17dfa5,2019-11,0,2019-11,True,False
17dfa5,2021-11,1,2021-11,True,False
1844e5,2022-02,0,2022-02,True,False
1844e5,2024-02,1,2024-02,True,False
192eb9,2019-09,0,2019-09,True,False
192eb9,2021-09,1,2021-09,True,False
194f72,2023-02,0,2023-02,True,False
194f72,2025-02,1,2025-02,True,False
195f58,2018-05,0,2018-05,False,False
195f58,2020-05,1,2020-05,True,False
19ee47,2024-01,0,2024-01,True,False
19ee47,2026-01,1,2026-01,False,False
1a9cf6,2023-04,0,2023-04,True,False
1a9cf6,2025-04,1,2025-04,True,False
1ac50a,2017-12,0,2017-12,False,False
1ac50a,2019-12,1,2019-12,False,False
1b548e,2021-03,0,2021-03,True,False
1b548e,2023-03,1,2023-03,True,False
1ca0f0,2023-05,0,2023-05,True,False
1ca0f0,2025-05,1,2025-05,True,False
1cc0ac,2020-06,0,2020-06,True,False
1cc0ac,2022-06,1,2022-06,True,False
1d239b,2024-04,0,2024-04,True,False
