aircraft_id,ref_month,y,year_month,env_available,flag_prior_corrosion,ref_ts,feat_year_month,month_start_date,total_parking_minutes,metar_temperature_c,metar_relative_humidity,metar_dew_point_c,metar_wind_speed_kn,metar_visibility_mi,metar_hour_precipitation,sea_salt_aerosol_003_05_mixing_ratio,sea_salt_aerosol_05_5_mixing_ratio,sea_salt_aerosol_5_20_mixing_ratio,dust_aerosol_003_055_mixing_ratio,dust_aerosol_055_09_mixing_ratio,dust_aerosol_09_20_mixing_ratio,hydrophilic_organic_matter_aerosol_mixing_ratio,hydrophobic_organic_matter_aerosol_mixing_ratio,hydrophilic_black_carbon_aerosol_mixing_ratio,hydrophobic_black_carbon_aerosol_mixing_ratio,sulphate_aerosol_mixing_ratio,ethane,c3h8,isoprene,carbon_monoxide_mass_mixing_ratio,ozone_mass_mixing_ratio,h2o2,formaldehyde,hno3,nitrogen_monoxide_mass_mixing_ratio,nitrogen_dioxide_mass_mixing_ratio,oh,organic_nitrates,specific_humidity,sulphur_dioxide_mass_mixing_ratio,temperature,tow_gate,rh_excess,dew_spread,condensation,freezing,arrhenius_rel,chloride,acid_species,oxidant,black_carbon,parking_hours,wet_parking,salt_wet_dose,acid_dose,acid_prod_dose,arr_wet_dose,corrosivity_increment,age_months,parking_hours_cum,parking_hours_roll6m,parking_hours_roll12m,parking_hours_roll24m,wet_parking_cum,wet_parking_roll6m,wet_parking_roll12m,wet_parking_roll24m,salt_wet_dose_cum,salt_wet_dose_roll6m,salt_wet_dose_roll12m,salt_wet_dose_roll24m,acid_dose_cum,acid_dose_roll6m,acid_dose_roll12m,acid_dose_roll24m,acid_prod_dose_cum,acid_prod_dose_roll6m,acid_prod_dose_roll12m,acid_prod_dose_roll24m,arr_wet_dose_cum,arr_wet_dose_roll6m,arr_wet_dose_roll12m,arr_wet_dose_roll24m,corrosivity_increment_cum,corrosivity_increment_roll6m,corrosivity_increment_roll12m,corrosivity_increment_roll24m,fp_coarse_seasalt,fp_so2,fp_black_carbon,fp_isoprene,fp_humidity,fp_temp_c,feat_ts,feat_gap_months,exact_month
e8e7d4,2014-10,0,2014-10,False,False,2014-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
3329fc,2014-12,0,2014-12,False,False,2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
0c8a7b,2015-03,0,2015-03,False,False,2015-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
ae7d89,2015-06,0,2015-06,False,False,2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
5b6c97,2015-07,0,2015-07,False,False,2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
d48b35,2015-08,0,2015-08,False,False,2015-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
7253db,2015-12,0,2015-12,False,False,2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
c28873,2016-01,0,2016-01,False,False,2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
d2324e,2016-01,0,2016-01,False,False,2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
db94b5,2016-03,0,2016-03,False,False,2016-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
668d0f,2016-04,0,2016-04,False,False,2016-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
87f284,2016-05,0,2016-05,True,False,2016-05-01,2016-05,2016-05-01 00:00:00+00:00,8464.033333333333,12.867071404114848,76.25905903171336,8.615801298966291,13.663012885521317,6.062100391221841,0.0,2.4687403752496725e-10,2.1007223678080972e-08,9.743105281111912e-09,2.9268957683494757e-11,5.7069098659705095e-11,8.016284045086346e-11,9.527726497007195e-10,4.989307592092384e-10,3.5878609564867366e-11,4.4583437777237466e-11,7.26815844151144e-10,2.831438221689115e-10,1.4181159237902748e-10,8.737982307696314e-10,6.398504286282186e-08,3.908951254782592e-08,1.4047620460637286e-10,3.719532385051902e-10,6.859562247095716e-11,1.2300682192485114e-10,1.867249587849352e-09,1.9711495441696383e-14,2.9905465452550875e-10,0.006711249786449,6.575130016361407e-10,284.25083441590016,0.3212162124512785,0.0,4.251270105148556,0.24241842061223992,0.0,0.3729514304867229,3.099720299671785e-08,1.4529244682582418e-09,3.9229988752432295e-08,8.046204734210484e-11,141.06722222222223,45.31307882324505,1.4045787026904037e-06,6.583648095440711e-08,1.1688158710862915e-15,16.899577566886872,5.483934461497297e-07,1.0,141.06722222222223,141.06722222222223,141.06722222222223,141.06722222222223,45.31307882324505,45.31307882324505,45.31307882324505,45.31307882324505,1.4045787026904037e-06,1.4045787026904037e-06,1.4045787026904037e-06,1.4045787026904037e-06,6.583648095440711e-08,6.583648095440711e-08,6.583648095440711e-08,6.583648095440711e-08,1.1688158710862915e-15,1.1688158710862915e-15,1.1688158710862915e-15,1.1688158710862915e-15,16.899577566886872,16.899577566886872,16.899577566886872,16.899577566886872,5.483934461497297e-07,5.483934461497297e-07,5.483934461497297e-07,5.483934461497297e-07,8.202584864310431e-09,7.489696759001969e-10,1.1298654449213604e-10,1.8809045054734258e-09,79.01339472464132,13.977059739563234,2016-05-01,0.0,True
b056a3,2016-06,0,2016-06,True,False,2016-06-01,2016-06,2016-06-01 00:00:00+00:00,43200.0,15.831807228915665,66.45306987951786,8.929156626506025,4.437590361445783,5.66725301204799,0.0,4.0036974999429016e-11,3.333501349987943e-09,1.5610657902809702e-09,7.277149272497053e-10,1.362783867788585e-09,1.6285254496239227e-09,2.6730566980100665e-08,1.806295191671959e-08,9.786692208136007e-10,1.764794092208416e-09,6.428523999108721e-09,1.962939204625156e-09,6.473526343921571e-09,7.257231293978833e-09,3.805764585405938e-07,4.59176542915801e-08,6.491949126056737e-10,3.62249336049871e-09,2.700566298827346e-09,1.4857128563058473e-08,2.6828535646865442e-08,3.3429092638648677e-14,2.812452117531649e-09,0.0088278154418712,2.053188247146028e-08,287.7797753884307,0.06242177484960734,0.0,6.90265060240964,0.1001703007330209,0.0,0.4834227061231348,4.9346041152683425e-09,2.9660972769396347e-08,4.656684920418577e-08,2.7434633130220167e-09,720.0,44.943677891717286,2.2177925787976293e-07,1.333073206102747e-06,4.297087851813535e-14,21.726794389540476,7.516509857606489e-07,10.0,6640.218333333333,4362.816944444445,6640.218333333333,6640.218333333333,2667.3167686961724,1672.5764267739155,2667.3167686961724,2667.3167686961724,4.071118959365373e-05,2.6149526459786247e-05,4.071118959365373e-05,4.071118959365373e-05,1.7687002547686232e-05,7.94752201199799e-06,1.7687002547686232e-05,1.7687002547686232e-05,4.901458005910017e-13,1.844318066176957e-13,4.901458005910017e-13,4.901458005910017e-13,905.4896195215034,527.8107319445484,905.4896195215034,905.4896195215034,2.090459857395009e-05,1.0887297211074432e-05,2.090459857395009e-05,2.090459857395009e-05,7.193277138245851e-09,1.4968782125978982e-08,1.5827753817408838e-09,3.3551484353740433e-09,77.92036096447757,21.655301420454215,2016-06-01,0.0,True
bed435,2016-06,0,2016-06,True,False,2016-06-01,2016-06,2016-06-01 00:00:00+00:00,9504.65,7.456883034444544,24.449567150464947,6.4225000394543725,6.654900177249765,9.208398976641258,0.0214586605854327,4.858595556056983e-11,3.9250513890288465e-09,5.903364640124002e-10,7.88101445640228e-10,1.392932494712367e-09,7.539150831533084e-10,1.0417912464474073e-08,6.617159194668826e-09,2.8906790509379917e-10,4.34986990136876e-10,2.4704467012757363e-09,8.423146581416589e-10,8.185648663390142e-10,7.205925191959702e-09,1.776432409476361e-07,5.15632901382667e-08,7.33113623782447e-10,2.626554881978213e-09,1.910486786277065e-09,3.482374539595592e-09,1.9648491739784983e-08,5.350097778356597e-14,2.17542996702018e-09,0.0125485130152335,8.514611295523916e-09,294.5411217709423,1.4960434668581353e-05,0.0,1.034382994990171,0.7083660269495486,0.0,0.7810275991772453,4.563973808601817e-09,1.2895544783076717e-08,5.229640376204915e-08,7.240548952306752e-10,158.41083333333333,0.0023698949228788627,1.0816138357157552e-11,3.056108610917052e-11,1.0552752248311234e-18,0.0018509533419184211,3.231675428555419e-11,12.0,2420.5266666666666,965.1786111111111,2420.5266666666666,2420.5266666666666,287.54511399073556,18.04690425793288,287.54511399073556,287.54511399073556,2.4204640530132174e-06,1.595857366893356e-07,2.4204640530132174e-06,2.4204640530132174e-06,3.2263916996433975e-06,1.7425644378279062e-07,3.2263916996433975e-06,3.2263916996433975e-06,1.0058916751663708e-13,6.011526241414516e-15,1.0058916751663708e-13,1.0058916751663708e-13,209.09704518494704,8.165273012178293,209.09704518494704,209.09704518494704,4.034701613905098e-06,1.5014325434167199e-07,4.034701613905098e-06,4.034701613905098e-06,2.5249203316436443e-09,5.029212911998238e-09,4.1852781164256223e-10,4.741588274236296e-09,37.635951902068385,10.08989016783705,2016-06-01,0.0,True
