aircraft_id,year_month,corrosion_risk
022433,2020-11,0.0208333333333333
022433,2020-12,0.0459166860213222
022433,2021-01,0.0647041712825574
022433,2021-02,0.0638297872340425
022433,2021-03,0.0208333333333333
022433,2021-04,0.0454545454545454
022433,2021-05,0.0208333333333333
022433,2021-06,0.0208333333333333
022433,2021-07,0.0208333333333333
022433,2021-08,0.0
022433,2021-09,0.0
022433,2021-10,0.0
022433,2021-11,0.0
022433,2021-12,0.0
022433,2022-01,0.0
022433,2022-02,0.0
022433,2022-03,0.0
022433,2022-04,0.0
022433,2022-05,0.0
022433,2022-06,0.0
022433,2022-07,0.0
022433,2022-08,0.0
022433,2022-09,0.0
022433,2022-10,0.0
022433,2022-11,0.0674157303370786
022433,2022-12,0.0674157303370786
022433,2023-01,0.0674157303370786
022433,2023-02,0.0674157303370786
022433,2023-03,0.0674157303370786
022433,2023-04,0.0674157303370786
022433,2023-05,0.0769230769230769
022433,2023-06,0.2465753424657534
022433,2023-07,0.3709677419354839
022433,2023-08,0.2465753424657534
022433,2023-09,0.4285714285714285
022433,2023-10,0.3709677419354839
022433,2023-11,0.2465753424657534
022433,2023-12,0.1714285714285714
022433,2024-01,0.1714285714285714
022433,2024-02,0.0769230769230769
022433,2024-03,0.4545454545454545
022433,2024-04,0.1428571428571428
022433,2024-05,0.2465753424657534
022433,2024-06,0.2465753424657534
022433,2024-07,0.2465753424657534
022433,2024-08,0.2465753424657534
022433,2024-09,0.2465753424657534
022433,2024-10,0.2465753424657534
022433,2024-11,0.2465753424657534
022433,2024-12,0.2465753424657534
022433,2025-01,0.2465753424657534
022433,2025-02,0.2465753424657534
022433,2025-03,0.3709677419354839
022433,2025-04,0.4545454545454545
022433,2025-05,0.4545454545454545
022433,2025-06,0.5588235294117647
022433,2025-07,0.6744186046511629
022433,2025-08,0.6744186046511629
06534f,2014-08,0.0208333333333333
06534f,2014-09,0.0674157303370786
06534f,2014-10,0.0666666666666666
06534f,2014-11,0.0638297872340425
06534f,2014-12,0.0667066776165948
06534f,2015-01,0.0454545454545454
06534f,2015-02,0.0638297872340425
06534f,2015-03,0.0454545454545454
06534f,2015-04,0.0674157303370786
06534f,2015-05,0.0638297872340425
06534f,2015-06,0.0208333333333333
06534f,2015-07,0.0
06534f,2015-08,0.0
06534f,2015-09,0.0
06534f,2015-10,0.0
06534f,2015-11,0.0
06534f,2015-12,0.0
06534f,2016-01,0.0
06534f,2016-02,0.0
06534f,2016-03,0.0
06534f,2016-04,0.0
06534f,2016-05,0.0
06534f,2016-06,0.0208333333333333
06534f,2016-07,0.0454545454545454
06534f,2016-08,0.3846153846153846
06534f,2016-09,0.3709677419354839
06534f,2016-10,0.2465753424657534
06534f,2016-11,0.2465753424657534
06534f,2016-12,0.3709677419354839
06534f,2017-01,0.4545454545454545
06534f,2017-02,0.4545454545454545
06534f,2017-03,0.6744186046511629
06534f,2017-04,0.6744186046511629
06534f,2017-05,0.5
06534f,2017-06,0.6744186046511629
06534f,2017-07,0.8928571428571429
06534f,2017-08,0.8928571428571429
06534f,2017-09,0.6744186046511629
06534f,2017-10,0.8928571428571429
06534f,2017-11,0.8928571428571429
06534f,2017-12,0.8928571428571429
06534f,2018-01,0.8928571428571429
06534f,2018-02,0.5588235294117647
06534f,2018-03,0.8928571428571429
06534f,2018-04,0.5588235294117647
06534f,2018-05,0.4545454545454545
06534f,2018-06,0.6744186046511629
06534f,2018-07,0.8928571428571429
06534f,2018-08,0.6744186046511629
06534f,2018-09,0.5588235294117647
06534f,2018-10,0.8928571428571429
06534f,2018-11,0.8928571428571429
06534f,2018-12,0.5588235294117647
06534f,2019-01,0.5588235294117647
06534f,2019-02,0.4545454545454545
06534f,2019-03,0.5
06534f,2019-04,0.5588235294117647
06534f,2019-05,0.6744186046511629
06534f,2019-06,0.5588235294117647
06534f,2019-07,0.6744186046511629
06534f,2019-08,0.5588235294117647
06534f,2019-09,0.6744186046511629
06534f,2019-10,0.8928571428571429
06534f,2019-11,0.8928571428571429
06534f,2019-12,1.0
06534f,2020-01,0.8928571428571429
06534f,2020-02,0.8928571428571429
06534f,2020-03,1.0
06534f,2020-04,1.0
06534f,2020-05,1.0
06534f,2020-06,1.0
06534f,2020-07,1.0
06534f,2020-08,1.0
06534f,2020-09,1.0
06534f,2020-10,1.0
06534f,2020-11,1.0
06534f,2020-12,1.0
06534f,2021-01,1.0
06534f,2021-02,1.0
06534f,2021-03,1.0
06534f,2021-04,1.0
06534f,2021-05,1.0
06534f,2021-06,1.0
06534f,2021-07,1.0
06534f,2021-08,1.0
06534f,2021-09,0.9411764705882352
06534f,2021-10,1.0
06534f,2021-11,1.0
06534f,2021-12,1.0
06534f,2022-01,1.0
06534f,2022-02,1.0
06534f,2022-03,1.0
06534f,2022-04,1.0
06534f,2022-05,1.0
06534f,2022-06,1.0
06534f,2022-07,1.0
06534f,2022-08,1.0
06534f,2022-09,1.0
06534f,2022-10,1.0
06534f,2022-11,1.0
06534f,2022-12,1.0
06534f,2023-01,1.0
06534f,2023-02,0.8928571428571429
06534f,2023-03,1.0
06534f,2023-04,0.9411764705882352
06534f,2023-05,0.9411764705882352
06534f,2023-06,0.8928571428571429
06534f,2023-07,1.0
06534f,2023-08,1.0
06534f,2023-09,0.8928571428571429
06534f,2023-10,0.9411764705882352
06534f,2023-11,0.8928571428571429
06534f,2023-12,1.0
06534f,2024-01,0.8928571428571429
06534f,2024-02,1.0
06534f,2024-03,1.0
06534f,2024-04,0.8928571428571429
06534f,2024-05,1.0
06534f,2024-06,0.6744186046511629
06534f,2024-07,0.9411764705882352
06534f,2024-08,0.8928571428571429
06534f,2024-09,0.8928571428571429
06534f,2024-10,0.8928571428571429
06534f,2024-11,0.8928571428571429
06534f,2024-12,0.8928571428571429
06534f,2025-01,0.8928571428571429
06534f,2025-02,0.8928571428571429
06534f,2025-03,0.8928571428571429
06534f,2025-04,0.8928571428571429
06534f,2025-05,0.8928571428571429
06534f,2025-06,0.9411764705882352
06534f,2025-07,1.0
06534f,2025-08,1.0
0874ee,2014-04,0.0
0874ee,2014-05,0.0
0874ee,2014-06,0.0
0874ee,2014-07,0.0454545454545454
0874ee,2014-08,0.0208333333333333
0874ee,2014-09,0.0208333333333333
0874ee,2014-10,0.0
0874ee,2014-11,0.0208333333333333
0874ee,2014-12,0.0208333333333333
0874ee,2015-01,0.0208333333333333
0874ee,2015-02,0.0454545454545454
0874ee,2015-03,0.0
0874ee,2015-04,0.0674157303370786
0874ee,2015-05,0.0674157303370786
0874ee,2015-06,0.0666666666666666
0874ee,2015-07,0.0454545454545454
0874ee,2015-08,0.0208333333333333
0874ee,2015-09,0.0208333333333333
0874ee,2015-10,0.0638297872340425
0874ee,2016-05,0.4545454545454545
0874ee,2016-06,0.4545454545454545
0874ee,2016-07,0.4545454545454545
0874ee,2016-08,0.4545454545454545
0874ee,2016-09,0.4545454545454545
0874ee,2016-10,0.5
0874ee,2016-11,0.3709677419354839
0874ee,2016-12,0.4545454545454545
0874ee,2017-01,0.5588235294117647
0874ee,2017-02,0.5588235294117647
0874ee,2017-03,0.5588235294117647
0874ee,2017-04,0.3709677419354839
0874ee,2017-05,0.5588235294117647
0874ee,2017-06,0.4545454545454545
0874ee,2017-07,0.4545454545454545
0874ee,2017-08,0.3709677419354839
0874ee,2017-09,0.3709677419354839
0874ee,2017-10,0.4285714285714285
0874ee,2017-11,0.4545454545454545
0874ee,2017-12,0.2465753424657534
0874ee,2018-01,0.0674157303370786
0874ee,2018-02,0.0454545454545454
0874ee,2018-03,0.1714285714285714
0874ee,2018-04,0.0674157303370786
0874ee,2018-05,0.0638297872340425
0874ee,2018-06,0.0674157303370786
0874ee,2018-07,0.4545454545454545
0874ee,2018-08,0.5588235294117647
0874ee,2018-09,0.4545454545454545
0874ee,2018-10,0.4545454545454545
