model,fold,brier,auc,n_val
lightgbm,1,0.12164044827049454,0.9271833648393194,230
lightgbm,2,0.16011651707051877,0.8848107109879962,228
lightgbm,3,0.09670193546329547,0.9519082794706063,228
lightgbm,4,0.12704688171460346,0.9205909510618652,228
lightgbm,5,0.12563665904501067,0.9220529393659587,228
xgboost,1,0.11888180511291052,0.9214366729678639,230
xgboost,2,0.1508953358419015,0.876269621421976,228
xgboost,3,0.10191200837268208,0.9397506925207756,228
xgboost,4,0.11321765505108716,0.9225915666358879,228
xgboost,5,0.1231512375034097,0.9109726069559865,228
catboost,1,0.11389796728773942,0.9240831758034027,230
catboost,2,0.15048946344044037,0.8858110187750077,228
catboost,3,0.09370355542959735,0.9456755924899969,228
catboost,4,0.11508272132606778,0.9212065250846415,228
catboost,5,0.11927896949575206,0.9168205601723607,228
histgb,1,0.1361753735126909,0.9270321361058601,230
histgb,2,0.17555894878804168,0.8805016928285626,228
histgb,3,0.09451827510117096,0.9504462911665128,228
histgb,4,0.14945405778146867,0.904816866728224,228
histgb,5,0.13547273425778597,0.9168205601723607,228
logreg,1,0.16545773551478152,0.8427221172022684,230
logreg,2,0.16685404497375222,0.8355647891658973,228
logreg,3,0.129465749440905,0.8958910433979685,228
logreg,4,0.13508526861678635,0.8878885811018775,228
logreg,5,0.14841782646989973,0.8618805786395813,228
