feature,importance
years_since_delivery,11.205414190092227
total_parking_minutes,7.1292793003715085
age_months,7.110880129780298
cum_parking_minutes,3.177286246627788
total_parking_minutes__roll24_mean,2.532748562205563
total_parking_minutes__roll24_max,2.4779218576533624
ozone_mass_mixing_ratio__roll12_mean,1.7465010482836223
total_parking_minutes__roll12_mean,1.582962484374884
humidity_x_o3,1.4382842475491378
hno3,1.3223139657685317
cum_ozone_exposure,1.317107551970182
cum_humidity_exposure,1.2660732621303168
parking_x_humidity,1.173534804692346
total_parking_minutes__roll3_max,1.14790308015598
specific_humidity__roll24_max,1.1407754228925682
metar_wind_speed_kn,1.112495896446123
sea_salt_aerosol_5_20_mixing_ratio,1.0699760089387464
ozone_mass_mixing_ratio__roll3_max,1.0313887855931547
total_parking_minutes__roll6_mean,1.02476176704742
ozone_mass_mixing_ratio__roll24_max,1.0054913874300928
sulphate_aerosol_mixing_ratio__roll24_max,0.99957199654879
hydrophilic_black_carbon_aerosol_mixing_ratio__roll12_mean,0.9874812832963638
cum_no2_exposure,0.9839994687308072
oh,0.9732049895433212
hydrophilic_black_carbon_aerosol_mixing_ratio__roll12_max,0.9504023700898416
metar_relative_humidity,0.910298528053186
specific_humidity__roll24_mean,0.8810414290293657
ozone_mass_mixing_ratio__roll12_max,0.7879328004214851
cum_hno3_exposure,0.7447241483146438
dust_aerosol_09_20_mixing_ratio,0.7340355573728626
