fold,brier,auc,n_val,model,stage
1,0.2029590075912058,0.7901701323251418,230,lightgbm_baseline,baseline
2,0.1978205860109868,0.7936288088642659,228,lightgbm_baseline,baseline
3,0.1821055546806368,0.8197522314558325,228,lightgbm_baseline,baseline
4,0.1895300700691032,0.8181363496460449,228,lightgbm_baseline,baseline
5,0.2171240268196752,0.7691982148353339,228,lightgbm_baseline,baseline
1,0.1216404482704945,0.9271833648393194,230,lightgbm,feature_engineering
2,0.1601165170705187,0.8848107109879962,228,lightgbm,feature_engineering
3,0.0967019354632954,0.9519082794706064,228,lightgbm,feature_engineering
4,0.1270468817146034,0.9205909510618652,228,lightgbm,feature_engineering
5,0.1256366590450106,0.9220529393659588,228,lightgbm,feature_engineering
1,0.1188818051129105,0.921436672967864,230,xgboost,feature_engineering
2,0.1508953358419015,0.876269621421976,228,xgboost,feature_engineering
3,0.101912008372682,0.9397506925207756,228,xgboost,feature_engineering
4,0.1132176550510871,0.922591566635888,228,xgboost,feature_engineering
5,0.1231512375034097,0.9109726069559864,228,xgboost,feature_engineering
1,0.1138979672877394,0.9240831758034028,230,catboost,feature_engineering
2,0.1504894634404403,0.8858110187750077,228,catboost,feature_engineering
3,0.0937035554295973,0.9456755924899968,228,catboost,feature_engineering
4,0.1150827213260677,0.9212065250846416,228,catboost,feature_engineering
5,0.119278969495752,0.9168205601723608,228,catboost,feature_engineering
1,0.1361753735126909,0.92703213610586,230,histgb,feature_engineering
2,0.1755589487880416,0.8805016928285626,228,histgb,feature_engineering
3,0.0945182751011709,0.9504462911665128,228,histgb,feature_engineering
4,0.1494540577814686,0.904816866728224,228,histgb,feature_engineering
5,0.1354727342577859,0.9168205601723608,228,histgb,feature_engineering
1,0.1654577355147815,0.8427221172022684,230,logreg,feature_engineering
2,0.1668540449737522,0.8355647891658973,228,logreg,feature_engineering
3,0.129465749440905,0.8958910433979685,228,logreg,feature_engineering
4,0.1350852686167863,0.8878885811018775,228,logreg,feature_engineering
5,0.1484178264698997,0.8618805786395813,228,logreg,feature_engineering
